,id,q
0,6199,""" -- -- -- "" "" -- "" -- --. ""-- -- -- - --"
1,5807,"""It's a private screening,"" he said. ""There 's a lot of"
2,8487,"`` It 's not helping . The guns these people have , they do n't"
3,1760,Shooting : 3 seriously injured in Auburn shootings | KOMO News - Breaking News
4,6228,"5. ""This is the argument concerning 'choice ' that , to me , rings"
5,3537,"1. ""My point is , people are prepared to admit that the creation story ,"
6,3874,Originally Posted by wayneinFL Each owns his own body ? Are you talking about
7,6223,"4. ""Really , so you are totally knowable ? See above . You are"
8,963,"1. ""In essence , it seems as though the central claim is that nothing ``"
9,1420,"STUTTGART , Germany - A 17-year-old gunman dressed in black"
10,2066,"""There is no difference between the two,"" he said. ""In principle , there"
11,5826,"5. ""This book stands alone among many other publications of similar vein , in that"
12,555,"`` One of the guns used at Columbine was a Tec-9 , a sem"
13,6795,"""I was invited to a pre-screening event for the film ""The Big"
14,357,"4. ""The thing I do n't like about abortion is that it is the"
15,3622,"""I don't see ID theory , which seems to me to be essentially a form"
16,7082,"1. ""The phrase `` # # # ` hits the fan `` refers to what"
17,3209,"""It's a miracle,"" she said. ""It seems for some , the birth"
18,2519,"""There is a lot to be said for this,"" he said. ""Assuming the"
19,4766,"""At least we're trying to shoot down another big-government , bureaucratic , wallet"
20,3094,"""There are quite a few gems in there . Quite a few people who God supposedly"
21,3565,"1. ""Interestingly enough one of those above also states ... 1. artificial selection Definition"
22,1393,"As usual , the Brady campaign is lying . The senate voted by a narrow margin to"
23,7960,"""I don't believe in evolution,"" he said. ""So , can I not"
24,4607,"1. ""I was watching the Bill Maher show today and they had Jane Fonda"
25,8507,"4. ""My contention is this : since joining the forums , Chuz has posted"
26,9722,"2. ""As I understand , some people have claimed that the civil war was justified"
27,2514,"""Yes,"" he said. ""So , Clive , everyone that believes that God created"
28,8364,"`` ... However , Collins takes pains to acknowledge that much of human nature likely has little"
29,1392,"`` In his encyclical Humani Generis , my predecessor Pius XII has"
30,8485,"""Hey pandion , voting according to the rules of the California Constitution is not imposing"
31,3505,"5. ""Oh , yes . In my experience , creationist scientists were always creation"
32,6793,"4. ""In states that have enacted bans against gay marriage . Divorce rates of"
33,668,"""Our goal is to make the DNA sufficiently similar and sufficiently widespread for the attainment of"
34,7964,"""What sort of different laws ? Also , note that Omegamon/Ethmi"
35,9138,"5. ""Fifth , do you believe the fetus is a person ? Why "
36,8161,"1. ""Since you brought up the questions , I wonder what your answer would be"
37,1903,"1. ""You wrongly use Occam 's Razor as well . If the document"
38,3886,"""Let 's limit education to just high school students , Religion to Roman Catholics ,"
39,7078,"""Not with me,"" he said. ""Not with you Mr. Muddy Waters"
40,3669,"""We have yet to see any evolution of new body parts or its so called ``"
41,18,"""I don't think so,"" he said. ""Well , I was n't"
42,55,"5. ""No Montalban , fallacy or falsity will not persuade me to"
43,7058,"""If a state allows gay marriage their spirituality is in the toilet , which is why"
44,3764,"1. ""I do n't believe in any gods , but thankyou for"
45,5654,"""I think it's a good thing,"" he said. ""Normal folks , people"
46,4651,... you see these things cause our genes to be expressed differently . ... We think gene
47,6330,"5. ""No , God did n't say this BUT thanks for responding to a"
48,303,"1. ""Your question , which has been pointed out already , has a theological basis"
49,2241,"Originally posted by Calligirl Okay , here is how it went : God made the"
50,351,"""It is possible to reach a greater degree of certainty about something . The greater degree"
51,6637,"1. ""The difference , Eddie is simply this . If the Constitution needs to be"
52,4612,"1. ""I just became aware of a new movement : http : //www."
53,390,"3. ""1. gman , have you ever been pregnant ? 2 . Have"
54,6137,"5. ""Howard , I 'm not sure I understood your first question above ."
55,6335,"4. ""I have never heard anyone use the phrase , `` I am a human"
56,8329,"""Yes , I am sure you can also keep a weapon with more responsibility and greater"
57,2159,"1. ""Like , I said , I ca n't take men 's position"
58,7978,"Originally posted by voiceofreason OK .... Well , that standard does n't show that"
59,2646,and 848 ( 1992 ) `` Neither the Bill of Rights nor the specific practices of
60,3645,"""I like your screen name as well,"" wrote one user. ""It used to"
61,5459,"""I don't know what you're talking about,"" he said. ""If you"
62,6431,"WASHINGTON, D.C. -- U.S. court records from southwestern states clearly"
63,3161,"1. ""The interesting thing about the 'quality of life ethic ' is that ,"
64,3844,"1. ""Incidentally , I am interested in your comment that natural selection is consistent"
65,6084,"1. ""Your selective memory is at work again . As I recall , in W"
66,3208,"""I think you're missing the point- the mere fact that bad things happen does"
67,3768,"""This stone was manufactured by an intelligent entity -- humans in this case . Are you"
68,1899,""" In abstract , it might be tempting to imagine that irreducible complexity simply"
69,274,"""They 're primarily American evangelical protestants,"" he said. ""And primarily American"
70,9478,"""There is no evidence that gay marriage is a problem in the United States,"" he"
71,1984,"""No , I 'm not saying it 's OK because abortion is legal in"
72,275,"""It 's not the government that seems to be `` running the show. ``"
73,1690,"1. ""Carmen , it 's senseless not to believe that Abortion is"
74,6307,"1. ""No , this is not about abortion , and I think that is very"
75,6562,"3. ""3 . Rational is as rational does . If it is our goal to"
76,6135,"""Let’s talk about the color of the universe,"" he said. """
77,1290,"""So another physician has been murdered for making it possible for women to actually use their"
78,1672,"""If you answered yes to any or all of these situations : In the first case"
79,2246,"U.S. guns arm Mexican drug cartels - Los Angeles Times"" Mexican authorities have"
80,6963,"""There is a lot of smoke in the air,"" he said. ""When we"
81,2841,"""Make health insurance coverage , for all but the most trivial of elective procedures ,"
82,5354,"""I don't see a way out of it,"" he said. ""You '"
83,1171,"1. ""I was n't oversimplifying anything , only stating the obvious in"
84,2892,"""This is the same thing that Christians do,"" he said. ""Of course ,"
85,6584,"1. ""Actually , no , my understanding is that in most states the law does"
86,6303,"5. ""I would expect nothing less from the women in my life . They '"
87,8503,"1. ""So you claim not to know what my sources are ( why else would"
88,5349,Â¡Â± Why would they want their budget cut if they do n't
89,8825,"4. ""I must be VEEEERY mistaken then . Read my other post ,"
90,1673,http://www.press.uchicago.edu/Misc/Chicago/49
91,8502,"""So you have no problem with the fact that this is abortion and was caused by"
92,7603,"1. ""I have to ask : have you actually read what you just quoted ?"
93,3668,"5. ""hey D , i am not going to get attitude w/ you .."
94,3673,"""I am curious,"" he said. ""Many on the religious right claim a belief"
95,8397,"""There is no evidence that this is true,"" he said. ""Again , this"
96,468,"`` The moths are not known to be able to mate with other moths,"
97,4031,"4. ""Sorry for the long delay between posts lol . This is a great story"
98,4068,"1. ""Now , my anti social side is pushing me to pass on a secret"
99,8486,"1. ""Carmen , it 's senseless not to believe that Abortion is"
100,4609,"""Thanks for the tip,"" he said. ""Well for what it 's worth"
101,1418,"Genesis 19:30-36 And Lot went up out of Zoar , and"
102,5352,"""Pro-choicers , I wish all of you had never been born,"""
103,2068,"4. ""If the homeowner got close enough to strangle the burglar , he"
104,254,"Congressman Alan Grayson , Florida : Think Progress GraysonÂ ’ s Right : Under"
105,3158,"""This is a classic example of someone needing to get the log out of his own"
