antecedent,consequent,support,confidence,lift
{0},{1},0.284,0.536,1.032
{1},{0},0.52,0.293,1.032
{0},{4},0.284,0.396,0.997
{4},{0},0.397,0.283,0.997
{0},{6},0.284,0.539,1.021
{6},{0},0.528,0.29,1.021
{0},{14},0.284,0.748,1.043
{14},{0},0.717,0.297,1.043
{0},{18},0.284,0.723,1.025
{18},{0},0.705,0.292,1.025
{0},{19},0.284,0.533,0.988
{19},{0},0.54,0.281,0.988
{0},{30},0.284,0.59,1.048
{30},{0},0.563,0.298,1.048
{0},{34},0.284,0.651,1.017
{34},{0},0.641,0.289,1.017
{0},{44},0.284,0.421,1.13
{44},{0},0.373,0.321,1.13
{0},{48},0.284,0.502,1.049
{48},{0},0.479,0.298,1.049
{0},{49},0.284,0.379,0.975
{49},{0},0.389,0.277,0.975
{0},{16},0.284,0.542,1.057
{16},{0},0.513,0.3,1.057
{0},{26},0.284,0.428,1.039
{26},{0},0.412,0.295,1.039
{0},{12},0.284,0.398,1.089
{12},{0},0.365,0.31,1.089
{0},{46},0.284,0.385,1.034
{46},{0},0.372,0.294,1.034
{0},{32},0.284,0.427,1.035
{32},{0},0.413,0.294,1.035
{1},{4},0.52,0.411,1.035
{4},{1},0.397,0.538,1.035
{1},{6},0.52,0.547,1.037
{6},{1},0.528,0.539,1.037
{1},{11},0.52,0.298,1.056
{11},{1},0.282,0.549,1.056
{1},{14},0.52,0.735,1.025
{14},{1},0.717,0.533,1.025
{1},{18},0.52,0.745,1.056
{18},{1},0.705,0.549,1.056
{1},{19},0.52,0.555,1.028
{19},{1},0.54,0.534,1.028
{1},{20},0.52,0.297,1.096
{20},{1},0.271,0.57,1.096
{1},{21},0.52,0.334,1.091
{21},{1},0.307,0.567,1.091
{24},{1},0.213,0.554,1.066
{1},{24},0.52,0.227,1.066
{1},{28},0.52,0.363,1.059
{28},{1},0.342,0.551,1.059
{1},{30},0.52,0.596,1.059
{30},{1},0.563,0.55,1.059
{1},{34},0.52,0.677,1.057
{34},{1},0.641,0.549,1.057
{1},{44},0.52,0.384,1.029
{44},{1},0.373,0.535,1.029
{48},{1},0.479,0.532,1.023
{1},{48},0.52,0.49,1.023
{1},{49},0.52,0.394,1.014
{49},{1},0.389,0.527,1.014
{1},{3},0.52,0.237,0.997
{3},{1},0.238,0.518,0.997
{1},{15},0.52,0.304,0.996
{15},{1},0.305,0.518,0.996
{16},{1},0.513,0.541,1.041
{1},{16},0.52,0.534,1.041
{1},{26},0.52,0.418,1.015
{26},{1},0.412,0.528,1.015
{1},{41},0.52,0.202,0.977
{41},{1},0.207,0.508,0.977
{1},{2},0.52,0.292,1.071
{2},{1},0.273,0.557,1.071
{1},{12},0.52,0.387,1.059
{12},{1},0.365,0.551,1.059
{1},{35},0.52,0.216,0.976
{35},{1},0.222,0.508,0.976
{1},{42},0.52,0.319,1.005
{42},{1},0.317,0.523,1.005
{1},{46},0.52,0.388,1.041
{46},{1},0.372,0.541,1.041
{32},{1},0.413,0.546,1.051
{1},{32},0.52,0.434,1.051
{1},{37},0.52,0.238,1.022
{37},{1},0.233,0.532,1.022
{1},{39},0.52,0.336,1.062
{39},{1},0.316,0.552,1.062
{1},{43},0.52,0.223,1.071
{43},{1},0.208,0.557,1.071
{1},{47},0.52,0.205,0.996
{47},{1},0.206,0.518,0.996
{1},{5},0.52,0.222,0.979
{5},{1},0.227,0.509,0.979
{1},{29},0.52,0.285,1.017
{29},{1},0.28,0.529,1.017
{1},{38},0.52,0.29,1.079
{38},{1},0.269,0.561,1.079
{4},{6},0.397,0.564,1.07
{6},{4},0.528,0.424,1.07
{11},{4},0.282,0.437,1.101
{4},{11},0.397,0.31,1.101
{4},{14},0.397,0.728,1.016
{14},{4},0.717,0.403,1.016
{18},{4},0.705,0.412,1.038
{4},{18},0.397,0.732,1.038
{19},{4},0.54,0.423,1.066
{4},{19},0.397,0.575,1.066
{4},{20},0.397,0.267,0.985
{20},{4},0.271,0.391,0.985
{4},{21},0.397,0.33,1.075
{21},{4},0.307,0.427,1.075
{4},{28},0.397,0.34,0.993
{28},{4},0.342,0.394,0.993
{4},{30},0.397,0.609,1.081
{30},{4},0.563,0.429,1.081
{34},{4},0.641,0.42,1.059
{4},{34},0.397,0.679,1.059
{4},{44},0.397,0.397,1.064
{44},{4},0.373,0.422,1.064
{48},{4},0.479,0.412,1.038
{4},{48},0.397,0.497,1.038
{49},{4},0.389,0.409,1.032
{4},{49},0.397,0.401,1.032
{4},{15},0.397,0.305,1.0
{15},{4},0.305,0.397,1.0
{16},{4},0.513,0.398,1.003
{4},{16},0.397,0.515,1.003
{26},{4},0.412,0.416,1.048
{4},{26},0.397,0.432,1.048
{2},{4},0.273,0.412,1.04
{4},{2},0.397,0.283,1.04
{4},{12},0.397,0.392,1.073
{12},{4},0.365,0.426,1.073
{42},{4},0.317,0.426,1.073
{4},{42},0.397,0.341,1.073
{4},{46},0.397,0.398,1.068
{46},{4},0.372,0.424,1.068
{32},{4},0.413,0.408,1.029
{4},{32},0.397,0.425,1.029
{4},{37},0.397,0.257,1.101
{37},{4},0.233,0.437,1.101
{4},{39},0.397,0.325,1.03
{39},{4},0.316,0.409,1.03
{4},{29},0.397,0.292,1.041
{29},{4},0.28,0.413,1.041
{4},{38},0.397,0.297,1.104
{38},{4},0.269,0.438,1.104
{11},{6},0.282,0.534,1.012
{6},{11},0.528,0.285,1.012
