antecedent,consequent,support,confidence,lift
{44776},{14148},0.023,0.917,40.55
{14148},{44776},0.023,0.946,40.55
{14148},{54782},0.023,0.935,40.942
{54782},{14148},0.023,0.926,40.942
{44776},{54782},0.023,0.938,41.031
{54782},{44776},0.023,0.957,41.031
{39749},{64408},0.028,0.921,17.224
{74994},{39749},0.026,0.916,33.052
{39749},{74994},0.028,0.86,33.052
{39749},{7686},0.028,0.877,33.415
{7686},{39749},0.026,0.926,33.415
{61432},{39749},0.025,0.951,34.319
{39749},{61432},0.028,0.851,34.319
{25161},{39749},0.024,0.93,33.562
{39749},{25161},0.028,0.816,33.562
{74994},{64408},0.026,0.897,16.778
{7686},{64408},0.026,0.898,16.795
{61432},{64408},0.025,0.922,17.233
{25161},{64408},0.024,0.88,16.456
{74994},{7686},0.026,0.916,34.889
{7686},{74994},0.026,0.907,34.889
{61432},{74994},0.025,0.873,33.548
{74994},{61432},0.026,0.832,33.548
{25161},{74994},0.024,0.87,33.45
{74994},{25161},0.026,0.813,33.45
{55776},{40313},0.032,0.9,23.735
{40313},{55776},0.038,0.75,23.735
{40313},{45122},0.038,0.545,24.103
{45122},{40313},0.023,0.914,24.103
{45122},{55020},0.023,0.903,39.956
{55020},{45122},0.023,0.903,39.956
{12305},{7190},0.037,0.662,25.951
{7190},{12305},0.026,0.971,25.951
{51657},{7190},0.026,0.944,36.984
{7190},{51657},0.026,0.962,36.984
{7190},{88631},0.026,0.933,37.644
{88631},{7190},0.025,0.961,37.644
{92490},{7190},0.026,0.943,36.963
{7190},{92490},0.026,0.952,36.963
{95398},{7190},0.026,0.936,36.665
{7190},{95398},0.026,0.971,36.665
{24746},{7190},0.025,0.942,36.921
{7190},{24746},0.026,0.933,36.921
{12305},{51657},0.037,0.675,25.965
{51657},{12305},0.026,0.972,25.965
{12305},{88631},0.037,0.643,25.929
{88631},{12305},0.025,0.971,25.929
{12305},{92490},0.037,0.675,26.21
{92490},{12305},0.026,0.981,26.21
{12305},{95398},0.037,0.688,25.979
{95398},{12305},0.026,0.972,25.979
{12305},{24746},0.037,0.656,25.944
{24746},{12305},0.025,0.971,25.944
{51657},{88631},0.026,0.916,36.941
{88631},{51657},0.025,0.961,36.941
{51657},{92490},0.026,0.963,37.36
{92490},{51657},0.026,0.972,37.36
{51657},{95398},0.026,0.981,37.038
