Age,Handsome,Height,Body Fat%,Crazy on work,Attitude,Wage,Temper,Responsibility,Have a cat,Ma bao,Have a car,Have a house,Have a rich dad,Jai Jai,Label
24,3,164,23,1,0,62814,0,0,1,0,1,0,1,1,0
23,1,165,31,0,0,60780,5,0,0,1,0,1,1,1,0
27,4,182,31,1,1,29964,1,0,1,1,1,0,1,0,0
26,5,188,11,1,0,98105,0,1,1,0,1,0,1,1,0
30,5,183,14,1,0,73356,5,0,0,1,1,1,1,0,0
30,1,177,15,1,0,113337,4,0,0,1,0,1,1,1,0
25,5,160,28,0,0,54086,0,0,0,1,1,0,1,1,0
24,2,175,8,0,1,34798,1,0,1,0,1,0,1,0,0
27,4,170,31,0,1,26402,1,1,1,0,1,1,1,1,0
27,4,172,20,1,0,47670,1,0,0,0,1,0,0,0,0
23,1,178,35,0,1,57212,5,0,0,1,0,0,1,1,0
23,4,182,35,1,0,45686,0,0,1,0,1,0,0,1,0
24,4,170,9,1,1,66289,4,1,1,0,0,0,1,0,1
26,5,189,34,1,0,124451,2,1,0,1,0,0,1,1,0
27,0,179,31,1,1,25577,3,1,1,1,1,0,0,0,0
30,4,168,34,0,0,140368,3,1,1,0,0,1,1,1,1
24,0,185,28,1,1,87187,0,0,1,1,0,1,0,1,0
28,0,164,9,1,1,93515,0,1,1,1,1,1,1,1,0
22,1,179,9,0,1,98302,0,0,1,1,0,0,1,1,0
29,5,183,16,1,0,147901,4,0,1,0,1,0,0,0,0
30,4,168,35,0,1,118401,4,0,1,0,1,0,1,0,1
27,4,177,28,0,0,72207,2,0,1,1,0,0,1,0,0
29,2,176,9,0,1,33152,2,1,0,0,1,1,1,1,0
23,1,175,15,1,1,142724,2,1,1,1,1,0,0,0,1
30,2,162,20,1,1,67439,5,1,0,1,1,1,1,1,1
29,3,173,11,1,0,91007,3,0,1,1,0,0,1,0,0
28,4,183,23,0,1,30503,4,0,0,0,1,1,0,1,0
22,3,187,30,1,1,120252,0,0,1,0,0,0,0,0,0
22,2,175,8,0,1,144820,3,0,0,0,0,1,1,0,1
26,2,176,18,1,0,87829,4,0,0,1,1,0,1,0,0
29,0,173,34,0,1,96211,5,1,0,1,1,1,0,0,1
23,4,170,15,1,1,30746,2,0,1,1,0,1,0,1,0
30,5,165,24,0,0,104041,3,0,1,0,1,0,0,1,0
29,0,180,34,0,0,135510,1,1,0,1,0,0,0,1,0
29,0,173,15,1,0,34725,5,0,1,1,1,0,1,1,0
30,4,185,28,1,0,58165,0,0,0,0,1,1,1,0,0
25,3,179,9,1,1,83333,0,0,1,1,0,1,1,0,0
26,1,166,28,0,0,72834,2,0,1,0,1,1,1,0,0
23,4,182,16,0,1,79028,1,0,0,0,1,0,0,0,0
23,4,174,27,0,1,93238,3,0,1,0,0,0,0,1,0
26,1,187,35,0,1,119428,4,1,1,1,1,1,1,0,1
22,3,178,35,1,0,115358,1,0,1,0,1,0,0,1,0
26,2,190,15,0,1,111284,2,0,1,1,1,1,0,0,0
30,4,181,35,1,0,89130,5,0,0,1,1,0,1,1,0
22,2,190,17,1,0,50189,3,0,1,0,0,0,0,1,0
25,4,185,34,0,0,91189,3,0,0,1,1,1,1,0,0
28,1,163,35,1,0,76193,1,0,0,1,0,0,1,0,0
29,0,168,34,1,1,116907,5,1,0,1,1,0,1,0,1
23,3,168,30,1,0,39859,5,1,1,0,0,1,0,1,0
27,1,185,35,0,1,97076,4,1,1,1,1,1,0,1,0
22,0,166,24,1,1,88704,4,1,1,0,0,1,0,0,1
24,2,168,33,0,0,134391,4,1,1,0,0,1,0,1,1
